nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry
NCT05727267,,2022-11-06,,,2025-04-21,2023-02-03,2023-02-14,ACTUAL,,,,,,,2025-04-21,2025-04-24,ACTUAL,2024-01-23,ACTUAL,2024-01-23,2025-04,2025-04-30,2026-06,ESTIMATED,2026-06-30,2026-02,ESTIMATED,2026-02-28,,INTERVENTIONAL,,,A Heterologous Protein Prime/MVA Boost Therapeutic Hepatitis B Vaccine Candidate,TherVacB_Phase1a: Open Phase 1a Trial to Assess the Safety and Immunogenicity of a Heterologous Protein Prime/MVA Boost Therapeutic Hepatitis B Vaccine Candidate in Healthy Volunteers,RECRUITING,,PHASE1,24.0,ESTIMATED,Universitätsklinikum Hamburg-Eppendorf,,6.0,,,f,,,,t,f,f,,,f,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT01169259,,2010-01-13,2019-11-12,,2025-10-22,2010-07-22,2010-07-26,ESTIMATED,2020-01-03,2020-01-06,ACTUAL,,,,2025-10-22,2025-11-06,ACTUAL,2010-07,ACTUAL,2010-07-31,2025-09,2025-09-30,2026-05,ESTIMATED,2026-05-31,2018-11-10,ACTUAL,2018-11-10,,INTERVENTIONAL,VITAL,,Vitamin D and Omega-3 Trial (VITAL),Vitamin D and Omega-3 Trial (VITAL),ACTIVE_NOT_RECRUITING,,PHASE3,25871.0,ACTUAL,Brigham and Women's Hospital,,4.0,,,f,,,,t,t,,,,f,,,,,http://www.vitalstudy.org/Investigators.html,YES,"Researchers who are interested in collaborating on research that uses VITAL data should visit the For VITAL Investigators section of the VITAL website, www.vitalstudy.org.",2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT05963217,,2023-06-27,,,2025-06-27,2023-07-26,2023-07-27,ACTUAL,,,,,,,2025-06-27,2025-07-02,ACTUAL,2023-07-26,ACTUAL,2023-07-26,2025-06,2025-06-30,2026-05-30,ESTIMATED,2026-05-30,2026-03-30,ESTIMATED,2026-03-30,,INTERVENTIONAL,,,"Study of TBI-2001(Autologous CD19 Specific Chimeric Antigen Receptor (CAR) Gene-transduced T Lymphocytes) for Relapsed or Refractory CD19+ B-cell Lymphoma, CLL/SLL","Phase I/Ib Study of TBI-2001 for Patients With Relapsed or Refractory CD19+ B-cell Lymphoma, Chronic Lymphocytic Leukemia (CLL), Small Lymphocytic Lymphoma (SLL)",RECRUITING,,PHASE1,19.0,ESTIMATED,"University Health Network, Toronto",,1.0,,,f,,,,t,f,f,,,f,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT05993299,,2023-08-07,2023-09-18,,2024-09-30,2023-08-07,2023-08-15,ACTUAL,2023-09-18,2023-10-16,ACTUAL,,,,2024-09-30,2024-10-22,ACTUAL,2019-12-31,ACTUAL,2019-12-31,2024-09,2024-09-30,2025-07-01,ESTIMATED,2025-07-01,2022-10-12,ACTUAL,2022-10-12,,INTERVENTIONAL,,,Study to Evaluate Safety and Antitumor Activity of Lete-Cel (GSK3377794) in HLA-A2+ Participants With NY-ESO-1 Positive Previously Untreated Advanced (Metastatic or Unresectable) Synovial Sarcoma and Myxoid/Round Cell Liposarcoma,Evaluation of Safety and Antitumor Activity of Lete-Cel (GSK3377794) in HLA-A2+ Participants With NY-ESO-1 Positive Previously Untreated Advanced (Metastatic or Unresectable) Synovial Sarcoma and Myxoid/Round Cell Liposarcoma,ACTIVE_NOT_RECRUITING,,PHASE2,7.0,ACTUAL,Adaptimmune,,1.0,,,f,,,,t,t,f,,,,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT05644756,,2022-11-18,2025-05-06,,2025-06-13,2022-11-30,2022-12-09,ACTUAL,2025-06-13,2025-07-02,ACTUAL,,,,2025-06-13,2025-07-02,ACTUAL,2022-10-25,ACTUAL,2022-10-25,2025-06,2025-06-30,2025-08-31,ESTIMATED,2025-08-31,2024-07-31,ACTUAL,2024-07-31,,INTERVENTIONAL,NIMBLE,"This analysis population includes only youth-serving therapists, so it is a subset of the full sample.",Novel Methods for Implementing Measurement-Based Care for Youth in Low-resource Environments,"IMPACT Center Signature Project 1, Novel Methods for Implementing Measurement-Based Care for Youth in Low-resource Environments, is Embedded Within IMPACT Center P50 Entitled: Optimizing Evidence-Based Practice Implementation for Clinical Impact: the IMPACT Center.",ACTIVE_NOT_RECRUITING,,,76.0,ACTUAL,Kaiser Permanente,,1.0,,,f,,,,f,f,f,,,,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT06020378,,2023-08-07,,,2025-04-19,2023-08-27,2023-08-31,ACTUAL,,,,,,,2025-04-19,2025-04-24,ACTUAL,2024-01-01,ACTUAL,2024-01-01,2025-04,2025-04-30,2026-12-01,ESTIMATED,2026-12-01,2026-07-01,ESTIMATED,2026-07-01,,OBSERVATIONAL,,,Hydroxychloroquine May be Beneficial for Preeclampsia,Hydroxychloroquine Treatment During Pregnancy is Associated With Lower Risk of Preeclampsia in Patients With Recurrent Spontaneous Abortion of Unknown Aetiology,ACTIVE_NOT_RECRUITING,,,462.0,ACTUAL,RenJi Hospital,,,2.0,,f,,,,,f,f,,,,,,,,,UNDECIDED,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,f
NCT04638439,,2020-11-06,,,2025-06-28,2020-11-16,2020-11-20,ACTUAL,,,,,,,2025-06-28,2025-07-02,ACTUAL,2022-08-17,ACTUAL,2022-08-17,2025-06,2025-06-30,2025-05-14,ACTUAL,2025-05-14,2025-05-14,ACTUAL,2025-05-14,,INTERVENTIONAL,,,The Safety and Efficacy of Sequential Treatment of Ropeginterferon Alfa-2b (P1101) and Anti-PD1 in Interferon-Naive Adults With Chronic Hepatitis B or D Infection,"A Phase Ib, Open Label Study to Assess the Safety and Efficacy of Sequential Administration of P1101 and Anti-PD1 in Interferon-Naive Adults With Chronic Hepatitis B or D Infection",COMPLETED,,PHASE1,20.0,ACTUAL,PharmaEssentia,,1.0,,,f,,,,t,f,f,,,f,,,,,,NO,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT06839872,,2025-01-21,,,2025-06-03,2025-02-17,2025-02-21,ACTUAL,,,,,,,2025-06-03,2025-06-05,ACTUAL,2025-06-30,ESTIMATED,2025-06-30,2025-06,2025-06-30,2030-07-29,ESTIMATED,2030-07-29,2028-07-28,ESTIMATED,2028-07-28,,INTERVENTIONAL,BOSS,,A Study to Investigate the Sequencing Strategy of Pirtobrutinib After Disease Progression on First-line Acalabrutinib Treatment for Adult Participants With Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,BOSS: BTK Inhibitor Optimal Sequencing Study Phase II Open-label Single Arm Trial of Pirtobrutinib in Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma After First-line Acalabrutinib Progression,WITHDRAWN,,PHASE2,0.0,ACTUAL,AstraZeneca,,1.0,,AstraZeneca has made the decision to cancel the trial.,f,,,,f,t,f,,,,,,"AstraZeneca will meet or exceed data availability as per the commitments made to the EFPIA Pharma Data Sharing Principles. For details of our timelines, please rerefer to our disclosure commitment at https://astrazenecagrouptrials.pharmacm.com/ST/Submission/Disclosure.",When a request has been approved AstraZeneca will provide access to the de-identified individual patient-level data in an approved sponsored tool. Signed Data Sharing Agreement (non-negotiable contract for data accessors) must be in place before accessing requested information.,https://vivli.org/,YES,Qualified researchers can request access to anonymized individual patient-level data from AstraZeneca group of companies sponsored clinical trials via the request portal. All requests will be evaluated as per the AZ disclosure commitment: https://astrazenecagrouptrials.pharmacm.com/ST/Submission/Disclosure,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT04663997,,2020-12-04,,,2025-11-05,2020-12-10,2020-12-11,ACTUAL,,,,,,,2025-11-05,2025-11-06,ACTUAL,2021-08-11,ACTUAL,2021-08-11,2025-10,2025-10-31,2026-12-31,ESTIMATED,2026-12-31,2025-08-25,ACTUAL,2025-08-25,,INTERVENTIONAL,,,177 LuPSMA-617 vs Docetaxel in Metastatic Castration Resistant and PSMA-Positive Prostate Cancer,A Randomized Phase II Study of 177 LuPSMA-617 vs Docetaxel in Patients With Metastatic Castration-Resistant Prostate Cancer and PSMA-Positive Disease,ACTIVE_NOT_RECRUITING,,PHASE2,200.0,ACTUAL,Canadian Cancer Trials Group,,2.0,,,f,,,,t,t,f,,,t,,,,,,NO,Subject to CCTG Policy,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,NETWORK,,,,,,
NCT01829464,,2013-04-09,2015-07-24,,2016-04-24,2013-04-09,2013-04-11,ESTIMATED,2016-04-24,2016-06-01,ESTIMATED,,,,2016-04-24,2016-06-01,ESTIMATED,2013-05,,2013-05-31,2016-04,2016-04-30,2014-03,ACTUAL,2014-03-31,2014-02,ACTUAL,2014-02-28,,INTERVENTIONAL,,Full analysis set (FAS) included all randomized participants who received at least 1 dose of double blind study medication.,TAK-875 (Fasiglifam) in Combination With Sitagliptin in Adults With Type 2 Diabetes,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study to Evaluate the Efficacy and Safety of Daily Oral Fasiglifam 25 mg and 50 mg Compared to Placebo When Used in Combination With Sitagliptin in Subjects With Type 2 Diabetes",TERMINATED,,PHASE3,90.0,ACTUAL,Takeda,,3.0,,Due to potential concerns about liver safety (See Detailed Description),f,,,,t,,,,,,,,,,,,,2026-03-01 14:19:20.628898,2026-03-01 14:19:20.628898,INDUSTRY,,,,,,
NCT04238624,,2020-01-21,,,2025-07-01,2020-01-21,2020-01-23,ACTUAL,,,,,,,2025-07-01,2025-07-02,ACTUAL,2020-01-20,ACTUAL,2020-01-20,2025-07,2025-07-31,2026-06-20,ESTIMATED,2026-06-20,2026-06-20,ESTIMATED,2026-06-20,,INTERVENTIONAL,,,Study of Cemiplimab Combined With Dabrafenib and Trametinib in People With Anaplastic Thyroid Cancer,"A Pilot Study of the Addition of Cemiplimab, an Antibody to PD-1, to the Treatment of Subjects With BRAF-Mutant Anaplastic Thyroid Cancer Who Are No Longer Responding to Dabrafenib and Trametinib",ACTIVE_NOT_RECRUITING,,PHASE2,16.0,ACTUAL,Memorial Sloan Kettering Cancer Center,,1.0,,,,,,,,t,f,,,,,,,,,YES,"Memorial Sloan Kettering Cancer Center supports the international committee of medical journal editors (ICMJE) and the ethical obligation of responsible sharing of data from clinical trials. The protocol summary, a statistical summary, and informed consent form will be made available on clinicaltrials.gov when required as a condition of Federal awards, other agreements supporting the research and/or as otherwise required. Requests for deidentified individual participant data can be made beginning 12 months after publication and for up to 36 months post publication. Deidentified individual participant data reported in the manuscript will be shared under the terms of a Data Use Agreement and may only be used for approved proposals. Requests may be made to: crdatashare@mskcc.org.",2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,OTHER,,,,,,
NCT06297642,,2024-03-01,,,2024-08-04,2024-03-01,2024-03-07,ACTUAL,,,,,,,2024-08-04,2024-08-06,ACTUAL,2024-05-24,ACTUAL,2024-05-24,2024-01,2024-01-31,2024-07-31,ACTUAL,2024-07-31,2024-07-31,ACTUAL,2024-07-31,,INTERVENTIONAL,,,TQB2928 Injection Combined With Penpulimab in Treatment of Advanced Malignant Tumors.,A Phase Ib Clinical Trial of TQB2928 Injection Combined With Penpulimab in the Treatment of Patients With Advanced Malignant Tumors.,TERMINATED,,PHASE1,3.0,ACTUAL,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",,1.0,,"Based on the current status of the same target research and the company's overall layout in the field of tumors, the early termination was determined after full communication with the principal investigator of the group leader unit.",f,,,,,f,f,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT05981365,,2023-05-17,2024-09-27,,2024-09-27,2023-07-31,2023-08-08,ACTUAL,2024-09-27,2024-11-22,ACTUAL,,,,2024-09-27,2024-11-22,ACTUAL,2023-04-17,ACTUAL,2023-04-17,2024-09,2024-09-30,2023-10-04,ACTUAL,2023-10-04,2023-10-04,ACTUAL,2023-10-04,,INTERVENTIONAL,,Safety population included all participants who received any amount of study drug (voxelotor or cocktail drugs \[probe substrates\]).,Voxelotor CYP and Transporter Cocktail Interaction Study,"A Phase 1, Open-Label, Two-Part, Fixed-Sequence, Drug-Drug Interaction Study to Evaluate the Effect of Voxelotor on the Pharmacokinetics of Selected CYP and Transporter Probe Substrates in Healthy Participants",COMPLETED,,PHASE1,44.0,ACTUAL,Pfizer,,2.0,,,f,,,,t,t,f,,,,,,,,,NO,"Pfizer will provide access to individual de-identified participant data and related study documents (e.g. protocol, Statistical Analysis Plan (SAP), Clinical Study Report (CSR)) upon request from qualified researchers, and subject to certain criteria, conditions, and exceptions. Further details on Pfizer's data sharing criteria and process for requesting access can be found at: https://www.pfizer.com/science/clinical\_trials/trial\_data\_and\_results/data\_requests.",2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT00671645,,2008-04-30,,,2020-10-13,2008-04-30,2008-05-05,ESTIMATED,,,,,,,2020-10-13,2020-10-19,ACTUAL,2008-07,,2008-07-31,2020-10,2020-10-31,2009-02-27,ACTUAL,2009-02-27,2009-02-27,ACTUAL,2009-02-27,,INTERVENTIONAL,,,"Preoperative Combined RadioChemo-Molecular Target Therapy With Capecitabine, Bevacizumab, and Radiotherapy","Preoperative Combined RadioChemo-MolecularTargetTherapy of the Locally Advanced Rectum Carcinoma (cT3NxM0) - a Phase II Pilot Study With Preoperative Application of Capecitabine, Bevacizumab and Radiotherapy (RTx)",TERMINATED,,PHASE2,8.0,ACTUAL,Austrian Breast & Colorectal Cancer Study Group,,1.0,,reaching of step 1 (recruitment of 8 patients) per protocol -\> risk assessment -\> termination because of occurance of toxicity Grade 3 and 4,f,,,,f,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,NETWORK,,,,,,
NCT00261352,,2005-12-01,,,2009-04-21,2005-12-01,2005-12-05,ESTIMATED,,,,,,,2009-04-21,2009-04-22,ESTIMATED,2005-03,,2005-03-31,2009-04,2009-04-30,2006-12,ACTUAL,2006-12-31,,,,,INTERVENTIONAL,,,GALLANT 14 Tesaglitazar vs. Metformin and Fenofibrate,"A 24-Week Randomised, Double-Blind, Parallel-Group, Multi-Centre, Active-Controlled (Metformin or Metformin Combined With Fenofibrate) Study to Evaluate the Lipid Metabolic Effects, Safety and Tolerability of Tesaglitazar Therapy in Patients With Type 2 Diabetes and Low HDL-Cholesterol on a Fixed Background Therapy With a Statin",TERMINATED,,PHASE3,1000.0,,AstraZeneca,,,,The development program has been terminated,f,,,,,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT00401310,,2006-11-17,,,2015-07-21,2006-11-17,2006-11-20,ESTIMATED,,,,,,,2015-07-21,2015-07-22,ESTIMATED,2007-07,,2007-07-31,2015-07,2015-07-31,2009-01,ACTUAL,2009-01-31,2009-01,ACTUAL,2009-01-31,,INTERVENTIONAL,,,The Efficacy and Safety of MK0724 IV for Improvement of Neurological Damage and Recovery From Middle Cerebral Artery Ischemic Stroke (0724-018),"A Phase IIa Randomized, Double-Blind, Parallel-Groups, Placebo Controlled Clinical Trial to Study the Efficacy and Safety of MK0724 Intravenous Infusion on the Amelioration of Neurological Damage and Recovery From Middle Cerebral Artery Ischemic Stroke",TERMINATED,,PHASE2,150.0,ACTUAL,Merck Sharp & Dohme LLC,,2.0,,Termination date was 20-Oct-2008. Subjects were monitored during the post treatment 90 day follow-up period (per protocol) resulting in LPLV 19-Jan-2009.,f,,,,,,,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
NCT04909879,,2021-05-29,,,2021-09-17,2021-05-29,2021-06-02,ACTUAL,,,,,,,2021-09-17,2021-09-24,ACTUAL,2021-09,ESTIMATED,2021-09-30,2021-09,2021-09-30,2022-04,ESTIMATED,2022-04-30,2022-02,ESTIMATED,2022-02-28,,INTERVENTIONAL,,,Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells for Non-COVID-19 Acute Respiratory Distress Syndrome,Treatment of Non-COVID-19 Acute Respiratory Distress Syndrome: A Phase 2 Study of the Efficacy and Safety of Intravenous Allogeneic Adipose-Derived Mesenchymal Stem Cells,WITHDRAWN,,PHASE2,0.0,ACTUAL,"Sorrento Therapeutics, Inc.",,2.0,,Replaced by a different protocol.,f,,,,,t,f,,,,,,,,,,,2026-03-01 12:43:56.5356,2026-03-01 12:43:56.5356,INDUSTRY,,,,,,
